user_id,age,employment_type,monthly_income,credit_score,purchase_amount,product_category,bnpl_installments,repayment_delay_days,missed_payments,default_flag,app_usage_frequency,location,transaction_date,debt_to_income_ratio,risk_score,customer_segment
57,39,Unemployed,8018.44,308,1528.15,Electronics,6,0,0,1,8.23,Canada,12/4/2024,0.190579464,216.8,High Risk
58,43,Self-Employed,91756.09,760,5000,Fashion,9,0,0,0,1.3,Australia,7/23/2024,0.054492296,36,Low Risk
59,41,Unemployed,13330.47,369,1030.38,Sports,6,1,0,0,1.77,USA,9/23/2024,0.077295099,194.4,High Risk
60,57,Student,20576.69,402,5000,Sports,3,2,0,0,4.4,Canada,11/7/2024,0.242993407,183.2,High Risk
61,57,Unemployed,15364.52,394,4568.05,Fashion,9,10,1,0,4.36,Canada,10/20/2024,0.297311598,222.4,High Risk
62,50,Self-Employed,89320.13,712,5000,Home,3,1,0,0,6.01,Germany,7/10/2024,0.055978423,57.2,Low Risk
63,51,Student,25498.83,434,4911.17,Beauty,9,3,0,0,6.25,Canada,9/24/2024,0.192603739,172.4,High Risk
64,35,Unemployed,5034,300,543.35,Electronics,6,5,0,0,8.75,USA,4/10/2023,0.107936035,230,Medium Risk
65,39,Self-Employed,60771.03,642,100,Electronics,3,16,1,0,2.25,UK,8/8/2024,0.001645521,135.2,Medium Risk
66,21,Salaried,47089.97,514,5000,Sports,3,1,2,1,1.1,Canada,3/4/2023,0.106179724,176.4,High Risk
67,48,Self-Employed,96344.88,776,5000,Sports,12,2,0,0,9.63,USA,9/19/2024,0.051896894,33.6,Low Risk
68,53,Salaried,81736.66,661,3006.44,Electronics,9,13,2,0,6.36,Australia,4/28/2023,0.036782027,141.6,Medium Risk
69,51,Salaried,37175.61,427,5000,Fashion,3,16,1,1,9.55,India,5/24/2023,0.134496784,221.2,High Risk
70,29,Salaried,51794.09,487,3678.27,Home,3,15,3,1,7.03,India,6/16/2023,0.071017176,235.2,High Risk
71,27,Self-Employed,52770.79,527,5000,Home,9,15,1,0,3.87,Australia,12/18/2024,0.094749387,179.2,High Risk
72,34,Unemployed,5000,347,2583.13,Fashion,12,4,2,1,8.12,Canada,9/2/2024,0.516626,249.2,High Risk
73,50,Self-Employed,97571.53,682,5000,Sports,9,27,3,1,4.58,Canada,4/6/2023,0.051244456,181.2,Medium Risk
74,37,Unemployed,6509.48,308,972.38,Fashion,3,0,0,0,9.19,Germany,1/17/2023,0.149379059,216.8,High Risk
75,32,Unemployed,6006.58,305,3262.57,Fashion,6,6,2,0,1.33,India,7/15/2024,0.543165995,270,High Risk
76,23,Salaried,47538.91,462,5000,Beauty,3,3,1,0,2.39,UK,10/22/2024,0.105177001,181.2,High Risk
77,52,Unemployed,8622.62,302,3341.87,Beauty,9,14,1,0,3.53,Germany,11/27/2024,0.387570135,267.2,High Risk
78,32,Salaried,40535.12,443,5000,Electronics,12,17,2,1,6.93,India,4/12/2023,0.123349826,236.8,High Risk
79,58,Unemployed,8435.93,300,2337.84,Home,3,11,3,0,6.55,India,12/8/2024,0.2771289,302,High Risk
80,58,Self-Employed,87491.62,772,5000,Fashion,9,19,1,1,4.53,USA,4/30/2023,0.05714833,89.2,Low Risk
81,47,Unemployed,15248.5,368,5000,Fashion,6,8,1,0,8.84,Germany,9/20/2024,0.327901105,228.8,High Risk
82,46,Self-Employed,31077.92,496,5000,Home,9,4,0,1,7.15,Germany,3/5/2023,0.160885928,149.6,High Risk
83,51,Self-Employed,59950.7,577,5000,Electronics,12,5,1,0,1.28,Germany,3/10/2023,0.083401862,139.2,Medium Risk
84,33,Salaried,73238.14,571,5000,Electronics,12,17,2,0,5.26,Australia,1/18/2023,0.068270439,185.6,Medium Risk
85,42,Salaried,70255.81,628,5000,Electronics,12,8,2,0,3.23,USA,3/22/2023,0.071168491,144.8,Medium Risk
86,55,Self-Employed,40165.08,505,5000,Beauty,9,10,1,0,6.4,Germany,2/27/2023,0.124486245,178,High Risk
87,28,Unemployed,11701.83,430,3470.87,Fashion,12,3,0,0,1.65,Germany,8/18/2024,0.296609163,174,High Risk
88,50,Salaried,79352.24,637,5000,Fashion,9,12,1,0,1.28,Germany,7/12/2024,0.063010194,129.2,Medium Risk
89,26,Salaried,60473.35,545,5000,Beauty,3,13,2,1,2.48,UK,3/17/2023,0.082681049,188,High Risk
90,28,Unemployed,12601.13,397,5000,Home,3,10,1,1,6.93,Germany,5/28/2023,0.396789812,221.2,High Risk
91,35,Unemployed,5000,300,1222.37,Fashion,6,10,1,1,7.68,USA,6/11/2023,0.244474,260,High Risk
92,21,Student,11731.14,339,3373.55,Fashion,9,10,1,1,9.11,India,7/12/2024,0.287572222,244.4,High Risk
93,56,Salaried,86577.73,717,5000,Home,9,9,1,0,4.72,India,2/18/2023,0.057751572,91.2,Low Risk
94,31,Salaried,53528,517,5000,Sports,12,19,2,1,4.57,Germany,6/1/2023,0.093409057,211.2,High Risk
95,48,Self-Employed,60149.84,615,5000,Electronics,3,10,1,0,4.21,Canada,9/8/2024,0.083125741,134,Medium Risk
96,54,Salaried,77465.38,652,5000,Fashion,3,9,1,0,2.1,India,9/14/2024,0.064544962,117.2,Medium Risk
97,54,Self-Employed,49402.26,574,5000,Fashion,12,3,0,0,5.79,Germany,10/31/2024,0.101209945,116.4,Medium Risk
98,33,Salaried,51808.85,516,5000,Sports,9,5,1,1,7.15,USA,12/7/2024,0.096508608,163.6,High Risk
99,35,Salaried,43266.19,393,5000,Sports,6,12,3,1,6.44,India,1/27/2023,0.115563677,266.8,High Risk
100,26,Unemployed,8661.97,300,3624.9,Sports,6,14,3,1,5.9,Canada,1/1/2023,0.418484479,308,High Risk
101,38,Student,9518.62,300,966.49,Home,6,20,1,1,5.5,USA,1/5/2023,0.101536777,280,High Risk
102,43,Student,24058.9,344,5000,Fashion,12,14,2,0,6.83,UK,11/27/2024,0.2078233,270.4,High Risk
103,32,Unemployed,9749.63,300,1310.95,Fashion,12,12,1,0,7.46,Australia,3/29/2023,0.134461513,264,High Risk
104,30,Student,21960.01,380,5000,Beauty,6,2,0,0,2.67,UK,2/23/2023,0.227686599,192,High Risk
105,37,Salaried,41315.55,448,5000,Electronics,6,10,2,1,4.25,Germany,10/12/2024,0.12101981,220.8,High Risk
106,25,Salaried,72644.94,541,5000,Electronics,3,18,3,1,2.51,Canada,12/13/2024,0.068827918,219.6,High Risk
107,51,Self-Employed,49493.28,564,5000,Sports,3,3,0,0,9.89,UK,6/13/2023,0.101023816,120.4,Medium Risk
108,24,Self-Employed,65487.81,550,5000,Home,9,11,2,0,7.95,India,2/23/2023,0.076350087,182,High Risk
109,57,Self-Employed,41925.01,478,5000,Home,12,2,0,0,5.86,UK,8/13/2024,0.119260556,152.8,High Risk
110,25,Self-Employed,36547.93,355,5000,Beauty,12,24,3,0,1.8,Canada,5/2/2023,0.136806654,306,High Risk
111,46,Student,12055.85,369,1420.4,Sports,3,9,1,0,7.63,Australia,7/26/2024,0.117818321,230.4,High Risk
112,18,Salaried,47884.03,516,5000,Sports,6,14,1,1,2.06,UK,10/31/2024,0.104418947,181.6,High Risk
113,19,Salaried,35630.3,461,5000,Fashion,12,20,1,1,9.38,UK,2/17/2023,0.14033,215.6,High Risk
114,55,Salaried,80993.45,722,5000,Electronics,6,0,0,0,3.01,Australia,9/6/2024,0.061733387,51.2,Low Risk
115,37,Self-Employed,112584.25,832,5000,Home,3,2,0,0,4.31,UK,3/6/2023,0.044411185,11.2,Low Risk
116,32,Self-Employed,58590.02,607,100,Home,6,2,0,0,1,USA,2/16/2023,0.001706775,101.2,Medium Risk
117,19,Student,7117.19,300,1696.46,Sports,12,10,1,0,7.22,Germany,12/24/2024,0.238360926,260,High Risk
118,21,Student,8026.35,319,3552.31,Electronics,3,2,0,1,8.98,India,1/28/2023,0.442580999,216.4,High Risk
119,52,Unemployed,5000,300,100,Home,3,9,1,0,3.91,India,8/1/2024,0.02,258,Medium Risk
120,38,Salaried,43472.65,448,5000,Home,9,14,1,1,4.38,USA,2/17/2023,0.115014843,208.8,High Risk
121,38,Student,16457.25,369,5000,Fashion,3,0,1,0,6.53,Australia,4/22/2023,0.303817466,212.4,High Risk
122,41,Unemployed,11855.45,366,3574.46,Sports,9,9,1,0,3.67,Australia,11/12/2024,0.301503528,231.6,High Risk
123,32,Unemployed,5000,301,1391.45,Sports,12,3,0,1,6.62,India,2/10/2023,0.27829,225.6,High Risk
124,53,Salaried,70012.14,715,5000,Electronics,12,5,0,0,6.55,Australia,8/17/2024,0.071416186,64,Low Risk
125,28,Self-Employed,17409.74,366,4788.42,Sports,3,11,1,0,3.57,India,2/27/2023,0.275042591,235.6,High Risk
126,47,Student,30257.91,409,5000,Sports,6,9,3,1,5.86,Canada,7/5/2024,0.165246046,254.4,High Risk
127,35,Self-Employed,59205.22,640,5000,Beauty,9,3,0,0,7.2,USA,6/9/2023,0.084452013,90,Medium Risk
128,42,Salaried,68605.62,642,5000,Home,9,0,0,0,3.8,UK,6/2/2023,0.072880327,83.2,Medium Risk
129,56,Salaried,72358.19,595,5000,Home,9,19,3,1,9.97,USA,11/19/2024,0.069100678,200,Medium Risk
130,21,Self-Employed,18216.11,404,5000,Electronics,9,9,1,0,8.87,UK,8/22/2024,0.274482313,216.4,High Risk
131,31,Unemployed,11213.78,431,2794.15,Sports,9,1,0,0,1.69,Australia,10/30/2024,0.249171109,169.6,High Risk
132,29,Self-Employed,61768.14,623,5000,Fashion,12,2,1,0,1.56,USA,7/23/2024,0.08094788,114.8,Medium Risk
133,28,Self-Employed,38365.94,487,5000,Beauty,9,13,1,0,1.22,India,7/20/2024,0.130323928,191.2,High Risk
134,23,Self-Employed,56461.5,546,5000,Home,6,18,1,1,6.68,Germany,11/25/2024,0.088555919,177.6,High Risk
135,56,Self-Employed,91510.97,784,5000,Home,3,1,0,0,7.99,USA,2/15/2023,0.054638258,28.4,Low Risk
136,26,Salaried,49789.71,485,5000,Beauty,9,12,1,0,4.54,India,10/28/2024,0.100422356,190,High Risk
137,31,Unemployed,5000,300,1263.55,Fashion,9,11,2,0,7.15,USA,6/15/2023,0.25271,282,High Risk
138,34,Unemployed,14048.27,383,3715.82,Home,6,17,1,0,8.65,UK,1/24/2023,0.264503743,240.8,High Risk
139,27,Self-Employed,101149.91,847,5000,Fashion,12,0,0,0,4.06,India,6/27/2023,0.049431581,1.2,Low Risk
140,37,Self-Employed,67152.49,610,5000,Beauty,6,2,0,0,1.59,UK,7/20/2024,0.074457403,100,Medium Risk
141,20,Student,10791.71,300,909.29,Electronics,3,18,2,1,3.81,UK,2/12/2023,0.084258194,296,High Risk
142,32,Student,11659.28,302,2912.3,Sports,3,9,1,0,7.59,Germany,10/6/2024,0.249783863,257.2,High Risk
143,54,Student,30375.15,330,5000,Electronics,9,15,3,0,7.18,India,11/20/2024,0.164608241,298,High Risk
144,50,Student,23914.38,412,5000,Fashion,12,3,0,0,5.45,Canada,11/20/2024,0.209079223,181.2,High Risk
145,29,Student,10003.49,333,2384.77,Electronics,3,0,0,1,4.92,India,11/1/2024,0.238393801,206.8,High Risk
146,34,Unemployed,9587.91,352,1180.69,Home,12,4,0,1,7.14,Australia,9/11/2024,0.123143626,207.2,High Risk
147,37,Student,17933.47,329,3556.89,Beauty,9,14,1,1,8.27,Canada,7/22/2024,0.19833808,256.4,High Risk
148,30,Salaried,61198.4,541,5000,Beauty,9,10,1,0,2,Canada,1/6/2023,0.081701482,163.6,High Risk
149,42,Self-Employed,93234.03,693,5000,Home,3,12,3,0,5.87,India,6/18/2023,0.053628487,146.8,Medium Risk
150,26,Unemployed,9922.32,301,4539.63,Electronics,12,0,0,0,8.9,Canada,3/29/2023,0.457516992,219.6,High Risk
151,58,Self-Employed,74753.05,624,5000,Home,12,2,0,0,8.48,Germany,10/10/2024,0.066886903,94.4,Medium Risk
152,50,Salaried,90764.9,750,5000,Home,6,1,0,0,6.33,Canada,10/25/2024,0.055087374,42,Low Risk
153,21,Student,7659.79,302,287.27,Electronics,3,16,1,0,5.25,Australia,8/25/2024,0.037503639,271.2,High Risk
154,44,Student,16707.01,351,5000,Sports,6,4,1,0,1.45,UK,11/15/2024,0.299275574,227.6,High Risk
155,37,Unemployed,6991.37,300,2801.45,Home,9,13,1,0,8.92,Germany,9/29/2024,0.40070115,266,High Risk
156,58,Student,13488.18,300,1622.26,Sports,12,19,2,1,8.39,USA,3/23/2023,0.120272713,298,High Risk
157,42,Self-Employed,93524.14,742,100,Beauty,12,0,0,0,9.1,Australia,5/3/2023,0.001069243,43.2,Low Risk
158,32,Unemployed,7894.82,319,2011.69,Fashion,3,12,2,1,9.12,Canada,10/16/2024,0.254811383,276.4,High Risk
159,20,Student,6496.96,412,1475.8,Beauty,3,0,0,1,1.61,Canada,6/27/2023,0.227152391,175.2,High Risk
160,35,Salaried,47479.17,511,5000,Home,3,1,1,0,4.88,UK,4/5/2023,0.105309339,157.6,High Risk
161,28,Self-Employed,75591.33,640,5000,Beauty,12,7,1,0,4.41,Canada,11/25/2024,0.066145152,118,Medium Risk
162,28,Student,12849.22,402,3803.87,Beauty,3,2,0,1,9.75,Germany,4/21/2023,0.296038981,183.2,High Risk
163,20,Unemployed,8145.92,332,4397.15,Fashion,6,3,0,0,4.37,Canada,2/24/2023,0.539797837,213.2,High Risk
164,40,Unemployed,10503,325,5000,Fashion,3,2,1,0,8.5,Australia,2/17/2023,0.476054461,234,High Risk
165,51,Salaried,56973.41,586,5000,Home,9,3,0,0,2.35,Canada,4/11/2023,0.087760238,111.6,Medium Risk
166,28,Student,5876.38,361,1595.61,Electronics,12,4,0,1,1.36,USA,11/6/2024,0.271529411,203.6,High Risk
167,54,Student,8852.87,303,3027.84,Fashion,12,8,1,1,9.73,USA,11/4/2024,0.342017899,254.8,High Risk
168,43,Self-Employed,78126.56,692,5000,Electronics,9,8,1,0,9.27,India,8/1/2024,0.063998722,99.2,Medium Risk
169,34,Self-Employed,89838.39,754,5000,Beauty,6,11,1,0,2.99,Canada,9/4/2024,0.055655494,80.4,Low Risk
170,49,Salaried,79431.79,706,5000,Beauty,9,20,1,1,9.98,Germany,7/10/2024,0.06294709,117.6,Low Risk
171,43,Self-Employed,89175.8,769,5000,Beauty,6,4,0,0,1.94,Germany,3/8/2023,0.056069023,40.4,Low Risk
172,26,Unemployed,6160.69,300,1186.63,Fashion,12,13,1,1,7.36,USA,9/24/2024,0.192613165,266,High Risk
173,19,Salaried,24520.69,447,5000,Electronics,3,1,0,0,2.97,Germany,7/5/2024,0.203909433,163.2,High Risk
174,38,Self-Employed,45965.85,487,5000,Fashion,6,20,2,1,3.18,Australia,2/6/2023,0.108776407,225.2,High Risk
175,41,Unemployed,5000,300,2201.91,Electronics,3,0,0,0,1.42,Canada,12/25/2024,0.440382,220,Medium Risk
176,39,Self-Employed,76501.97,656,5000,Electronics,9,0,0,0,8.8,Germany,12/21/2024,0.065357794,77.6,Medium Risk
177,35,Self-Employed,75121.07,643,5000,Beauty,6,19,1,1,2.25,Australia,8/30/2024,0.066559222,140.8,Medium Risk
178,38,Student,8359.52,300,5000,Beauty,3,11,2,1,4.24,Canada,5/31/2023,0.598120466,282,High Risk
179,56,Unemployed,12081.08,367,3044.26,Sports,9,10,1,1,7.57,Germany,12/21/2024,0.25198575,233.2,High Risk
180,40,Self-Employed,67528.19,580,5000,Beauty,6,20,1,1,6.21,Germany,3/10/2023,0.074043151,168,Medium Risk
181,52,Student,24012.51,387,5000,Fashion,9,2,0,0,4.64,Australia,3/14/2023,0.208224796,189.2,High Risk
182,29,Student,15411.65,345,5000,Sports,12,8,1,1,2.18,Germany,6/21/2023,0.324429896,238,High Risk
183,59,Self-Employed,58233.56,620,5000,Home,12,0,0,0,6.11,Germany,11/16/2024,0.085861143,92,Medium Risk
184,53,Salaried,64391.16,636,5000,Home,9,3,1,0,7.04,USA,3/27/2023,0.07765041,111.6,Medium Risk
185,43,Student,30758.61,446,5000,Home,12,6,1,1,6.72,UK,4/14/2023,0.16255611,193.6,High Risk
186,45,Salaried,69315.79,599,5000,Fashion,12,19,2,1,6.68,USA,7/26/2024,0.072133637,178.4,Medium Risk
187,50,Self-Employed,32968.34,460,5000,Beauty,6,22,1,1,6.05,Australia,3/25/2023,0.151660654,220,High Risk
188,46,Self-Employed,51871.45,511,5000,Fashion,12,15,2,1,9.95,India,5/15/2023,0.096392139,205.6,High Risk
189,43,Unemployed,12581.51,338,5000,Beauty,6,0,0,1,7.82,UK,11/10/2024,0.397408578,204.8,High Risk
190,59,Unemployed,20660.87,334,5000,Beauty,3,13,1,0,8.52,India,2/23/2023,0.242003362,252.4,High Risk
191,54,Self-Employed,83246.54,639,5000,Beauty,9,31,2,0,4.53,Germany,12/4/2024,0.060062556,186.4,Medium Risk
192,47,Salaried,78135.25,684,5000,Sports,3,15,1,0,9.77,Germany,4/22/2023,0.063991604,116.4,Medium Risk
193,27,Unemployed,12630.1,413,2790.39,Electronics,9,0,0,0,3.54,UK,9/24/2024,0.220931742,174.8,High Risk
194,24,Student,16410.78,397,1840.32,Beauty,9,13,1,0,1.3,Germany,5/11/2023,0.112140922,227.2,High Risk
195,32,Self-Employed,84267.63,656,5000,Beauty,12,22,2,0,5.7,USA,4/8/2023,0.059334765,161.6,Medium Risk
196,27,Student,27172.04,399,5000,Beauty,12,7,1,1,7.68,Germany,4/22/2023,0.184012684,214.4,High Risk
197,47,Salaried,51640.72,510,5000,Beauty,9,20,1,0,7.78,UK,2/27/2023,0.096822817,196,High Risk
198,51,Unemployed,14008.31,324,5000,Fashion,3,3,0,0,7.38,Germany,2/8/2023,0.356930993,216.4,High Risk
199,53,Self-Employed,62920.91,606,5000,Sports,3,1,0,0,4.11,Canada,7/12/2024,0.079464839,99.6,Medium Risk
200,37,Salaried,64063.4,592,5000,Beauty,6,9,1,0,1.14,Canada,2/16/2023,0.078047684,141.2,Medium Risk
201,52,Salaried,73934.37,634,5000,Electronics,9,14,3,1,9.57,Australia,1/10/2023,0.067627546,174.4,Medium Risk
202,27,Unemployed,12320.21,332,4483.55,Fashion,9,13,2,1,9.15,Germany,9/2/2024,0.36391831,273.2,High Risk
203,33,Self-Employed,55202.02,596,5000,Electronics,12,4,0,0,8.05,UK,5/17/2023,0.090576396,109.6,Medium Risk
204,58,Unemployed,6640.68,300,1633.84,Home,12,9,3,1,9.91,USA,6/24/2023,0.246035045,298,High Risk
205,35,Unemployed,8930.98,300,3180.96,Home,6,8,1,1,5.35,UK,9/4/2024,0.356171439,256,Medium Risk
206,19,Unemployed,9655.65,360,2104.91,Home,12,1,0,0,1.83,Germany,5/13/2023,0.217997753,198,High Risk
207,47,Student,26247.2,424,5000,Electronics,9,22,1,1,8.95,Germany,7/26/2024,0.19049651,234.4,High Risk
208,39,Salaried,71455.2,612,5000,Sports,3,12,1,0,8.56,India,12/15/2024,0.069973914,139.2,Medium Risk
209,49,Student,12813.65,384,2897.59,Fashion,3,12,1,1,7.04,Australia,8/31/2024,0.226133069,230.4,High Risk
210,57,Salaried,69224.4,638,5000,Electronics,3,0,0,0,7.06,India,4/27/2023,0.072228867,84.8,Medium Risk
211,47,Self-Employed,89824.38,791,5000,Fashion,6,2,0,0,4.85,India,12/14/2024,0.055664175,27.6,Low Risk
212,42,Self-Employed,95983.91,712,5000,Fashion,6,14,2,0,8.42,USA,11/1/2024,0.052092064,123.2,Low Risk
213,28,Unemployed,11708.39,308,1928.76,Electronics,3,15,1,0,1.63,Canada,9/10/2024,0.164733153,266.8,High Risk
214,45,Self-Employed,85694.71,757,5000,Beauty,12,0,0,0,5.98,Australia,10/29/2024,0.058346659,37.2,Low Risk
215,38,Student,13642.59,385,5000,Home,12,0,0,0,8.89,USA,8/30/2024,0.366499323,186,High Risk
216,26,Salaried,17650.99,394,100,Fashion,3,0,0,0,2.44,UK,10/17/2024,0.005665405,182.4,High Risk
217,40,Salaried,43739.5,522,5000,Sports,12,1,0,0,6.24,India,10/20/2024,0.114313149,133.2,High Risk
218,26,Student,17124.83,365,5000,Sports,9,0,0,0,6.01,Australia,10/7/2024,0.291973701,194,High Risk
219,50,Unemployed,5000,300,1502.53,Beauty,3,2,0,0,7.27,Australia,7/29/2024,0.300506,224,Medium Risk
220,46,Self-Employed,47583.99,418,5000,Electronics,9,19,4,1,6.05,Canada,12/4/2024,0.105077359,290.8,High Risk
221,49,Self-Employed,97761.07,750,5000,Electronics,3,10,1,0,2.65,Australia,7/3/2024,0.051145103,80,Low Risk
222,20,Student,8142.84,320,808.39,Sports,9,1,0,1,1.6,India,5/22/2023,0.099276174,214,High Risk
223,35,Salaried,21851.71,371,1734.23,Home,12,1,0,0,1.41,Canada,12/14/2024,0.079363583,193.6,High Risk
224,49,Unemployed,10997.02,400,4053.41,Home,3,4,0,1,4.15,India,5/21/2023,0.368591673,188,High Risk
